source,target,weight,type
1,1,1.0,undirected
1,2,0.06647070881080676,undirected
1,3,0.4271562064633637,undirected
1,4,0.06856667819391342,undirected
1,5,0.5342537038081784,undirected
1,6,0.39834422215900245,undirected
1,7,0.3990031598997956,undirected
1,8,0.3729422163286342,undirected
1,9,0.13749861077855913,undirected
1,10,0.29055663416281624,undirected
1,11,0.40223249132419914,undirected
1,12,0.3849123749921443,undirected
1,13,0.15839666060267216,undirected
1,14,0.5337236741224827,undirected
1,15,0.41935571093700025,undirected
1,16,0.19935948703144687,undirected
1,17,0.688789044808649,undirected
1,18,0.3447809676594689,undirected
1,19,0.019601690350892577,undirected
1,20,0.050447097864150164,undirected
1,21,0.05636079389870157,undirected
1,22,0.369881714391733,undirected
1,23,0.2897479921276513,undirected
1,24,0.41641269250864865,undirected
1,25,0.5207411300612651,undirected
1,26,0.35420434722081606,undirected
1,27,0.5604880633067063,undirected
1,28,0.002164658595869903,undirected
1,29,0.5038172240778057,undirected
1,30,0.050366996212244,undirected
1,31,0.4471514506167696,undirected
1,32,0.18312666509309522,undirected
1,33,0.25101037186795516,undirected
1,34,0.1359535723816419,undirected
1,35,0.4491406042839344,undirected
1,36,0.8282176410324527,undirected
1,37,0.260115297741881,undirected
1,38,0.4025829766948773,undirected
1,39,0.1028202324020661,undirected
1,40,0.5295824789796375,undirected
1,41,0.40255812771963173,undirected
1,42,0.27759556021638415,undirected
1,43,0.3804495819949955,undirected
1,44,0.23847793135980766,undirected
1,45,0.035703477721651104,undirected
1,46,0.5712992577869217,undirected
1,47,0.23828054855300965,undirected
1,48,0.20158418538434775,undirected
1,49,0.4565549574354797,undirected
1,50,0.43224935305689005,undirected
1,51,0.2740927981123412,undirected
1,52,0.6625070141535199,undirected
1,53,0.35065338754471104,undirected
1,54,0.021433618264396388,undirected
1,55,0.19279294898125857,undirected
1,56,0.06674031734449876,undirected
1,57,0.4053773635422393,undirected
1,58,0.4234061240999403,undirected
1,59,0.25892160042090606,undirected
1,60,0.5560506448268964,undirected
1,61,0.37479490267044163,undirected
1,62,0.5290288320915438,undirected
1,63,0.21858204506470813,undirected
1,64,0.3397406532185025,undirected
1,65,0.11661001292594762,undirected
1,66,0.4428754698692785,undirected
1,67,0.2534239979872685,undirected
1,68,0.10722177292938741,undirected
1,69,0.01186982193756186,undirected
1,70,0.43043440435994734,undirected
2,1,0.06647070881080676,undirected
2,2,0.9999999999999998,undirected
2,3,0.31396941177918614,undirected
2,4,0.1774935329624285,undirected
2,5,0.01723149648326642,undirected
2,6,0.20749039900404906,undirected
2,7,0.024070132235331953,undirected
2,8,0.14092843717409045,undirected
2,9,0.27526395360793593,undirected
2,10,0.09812504066690726,undirected
2,11,0.13374722661878466,undirected
2,12,0.030710057715184133,undirected
2,13,0.3567022077384566,undirected
2,14,0.10057142954825764,undirected
2,15,0.26843507225434143,undirected
2,16,0.4951213566833147,undirected
2,17,0.010191911006376229,undirected
2,18,0.41731128616633123,undirected
2,19,0.311921386661677,undirected
2,20,0.3180623425310395,undirected
2,21,0.25687389815431844,undirected
2,22,0.0017797257900604106,undirected
2,23,0.42547672070339426,undirected
2,24,0.22989671321182822,undirected
2,25,0.17668142104764206,undirected
2,26,0.40567453466344733,undirected
2,27,0.22580276057415719,undirected
2,28,0.29470378494031546,undirected
2,29,0.3276177797900849,undirected
2,30,0.46434704384542097,undirected
2,31,0.6029719100917019,undirected
2,32,0.4552600796400966,undirected
2,33,0.0026558984170645034,undirected
2,34,0.12758026273484052,undirected
2,35,0.2250727574657395,undirected
2,36,0.18909350845514275,undirected
2,37,0.4907621392560212,undirected
2,38,0.33030937524516313,undirected
2,39,0.00011083174748760748,undirected
2,40,0.021338057865081157,undirected
2,41,0.22800985548947242,undirected
2,42,0.12098075269537796,undirected
2,43,0.20283542970949223,undirected
2,44,0.3902462107547888,undirected
2,45,0.10139855937668897,undirected
2,46,0.04203325153552123,undirected
2,47,0.14928969290454336,undirected
2,48,0.362067601568951,undirected
2,49,0.25607930579575916,undirected
2,50,0.22602586417639392,undirected
2,51,0.45873492779759584,undirected
2,52,0.11417961816053615,undirected
2,53,0.3544672104675479,undirected
2,54,0.17389572362594088,undirected
2,55,0.12126939991573729,undirected
2,56,0.3412572763744239,undirected
2,57,0.04708994384973316,undirected
2,58,0.23910368457838352,undirected
2,59,0.3991752919290534,undirected
2,60,0.20587894331205653,undirected
2,61,0.4623066014721385,undirected
2,62,0.17805892892520198,undirected
2,63,0.29815188786745567,undirected
2,64,0.20218513671695307,undirected
2,65,0.3154559245306248,undirected
2,66,0.4870703927053437,undirected
2,67,0.3113158156387449,undirected
2,68,0.11550977120527403,undirected
2,69,0.2366087684029933,undirected
2,70,0.2706990895333204,undirected
3,1,0.4271562064633637,undirected
3,2,0.31396941177918614,undirected
3,3,1.0,undirected
3,4,0.21074559204794888,undirected
3,5,0.5712051724046147,undirected
